"source","term_name","term_id","adjusted_p_value","negative_log10_of_adjusted_p_value","term_size","query_size","intersection_size","effective_domain_size","intersections"
"GO:BP","regulation of ribonuclease activity","GO:0060700","0.000020645451303897017","4.6851756191273815","9","146","4","18092","ENSG00000089127,ENSG00000111335,ENSG00000111331,ENSG00000135114"
"GO:BP","cellular respiration","GO:0045333","0.000020686445264599034","4.684314131596434","194","146","11","18092","ENSG00000198786,ENSG00000198804,ENSG00000198695,ENSG00000212907,ENSG00000198763,ENSG00000198888,ENSG00000198727,ENSG00000198938,ENSG00000198712,ENSG00000198886,ENSG00000138035"
"GO:BP","positive regulation of cytokine production","GO:0001819","0.00002293261139682067","4.639546488198343","441","146","16","18092","ENSG00000110492,ENSG00000019582,ENSG00000204592,ENSG00000115415,ENSG00000134321,ENSG00000185507,ENSG00000125730,ENSG00000107201,ENSG00000115267,ENSG00000055332,ENSG00000231389,ENSG00000173432,ENSG00000175197,ENSG00000131203,ENSG00000006210,ENSG00000124256"
"GO:BP","regulation of response to cytokine stimulus","GO:0060759","0.00002472377059458591","4.606885294766657","198","146","11","18092","ENSG00000019582,ENSG00000115415,ENSG00000173193,ENSG00000185507,ENSG00000107201,ENSG00000115267,ENSG00000138496,ENSG00000160710,ENSG00000184979,ENSG00000101347,ENSG00000124256"
"GO:BP","mitochondrion organization","GO:0007005","0.00003189524661771187","4.4962740354857","570","146","18","18092","ENSG00000126709,ENSG00000157601,ENSG00000198786,ENSG00000121858,ENSG00000198695,ENSG00000183486,ENSG00000119922,ENSG00000198763,ENSG00000132530,ENSG00000198888,ENSG00000025708,ENSG00000228253,ENSG00000198899,ENSG00000198886,ENSG00000170581,ENSG00000177606,ENSG00000123240,ENSG00000138035"
"GO:BP","negative regulation of defense response","GO:0031348","0.000037930362512958004","4.421013006582078","252","146","12","18092","ENSG00000110492,ENSG00000204592,ENSG00000173193,ENSG00000196126,ENSG00000149131,ENSG00000160710,ENSG00000101347,ENSG00000133710,ENSG00000173432,ENSG00000006210,ENSG00000123609,ENSG00000112343"
"GO:BP","response to bacterium","GO:0009617","0.000039115738468221076","4.407648466270671","771","146","21","18092","ENSG00000187608,ENSG00000204592,ENSG00000111335,ENSG00000138642,ENSG00000125730,ENSG00000134326,ENSG00000196126,ENSG00000170345,ENSG00000137965,ENSG00000177606,ENSG00000163739,ENSG00000205420,ENSG00000162654,ENSG00000133710,ENSG00000123240,ENSG00000169429,ENSG00000100906,ENSG00000197903,ENSG00000143546,ENSG00000131203,ENSG00000006210"
"GO:BP","negative regulation of response to biotic stimulus","GO:0002832","0.00005217714386814846","4.282519697490519","99","146","8","18092","ENSG00000204592,ENSG00000173193,ENSG00000149131,ENSG00000160710,ENSG00000101347,ENSG00000133710,ENSG00000123609,ENSG00000112343"
"GO:BP","antigen processing and presentation of exogenous peptide antigen","GO:0002478","0.00005656666547573296","4.2474394215454625","174","146","10","18092","ENSG00000019582,ENSG00000204592,ENSG00000100911,ENSG00000196126,ENSG00000240065,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000168394,ENSG00000089692"
"GO:BP","ATP metabolic process","GO:0046034","0.00006659199200728251","4.176577993594748","317","146","13","18092","ENSG00000198786,ENSG00000198804,ENSG00000198695,ENSG00000212907,ENSG00000176046,ENSG00000198763,ENSG00000198888,ENSG00000198727,ENSG00000198938,ENSG00000198712,ENSG00000228253,ENSG00000198899,ENSG00000198886"
"GO:BP","negative regulation of type I interferon production","GO:0032480","0.00006659199200728251","4.176577993594748","46","146","6","18092","ENSG00000187608,ENSG00000156587,ENSG00000107201,ENSG00000115267,ENSG00000138646,ENSG00000123609"
"GO:BP","viral entry into host cell","GO:0046718","0.00006952572091842028","4.157854499202119","139","146","9","18092","ENSG00000185885,ENSG00000142089,ENSG00000019582,ENSG00000188313,ENSG00000185201,ENSG00000132274,ENSG00000057149,ENSG00000196126,ENSG00000112343"
"GO:BP","antigen processing and presentation of exogenous antigen","GO:0019884","0.00008120690471002721","4.090407042803439","182","146","10","18092","ENSG00000019582,ENSG00000204592,ENSG00000100911,ENSG00000196126,ENSG00000240065,ENSG00000198502,ENSG00000231389,ENSG00000204287,ENSG00000168394,ENSG00000089692"
"GO:BP","positive regulation of inflammatory response","GO:0050729","0.00008121829295074376","4.090346142768455","142","146","9","18092","ENSG00000110492,ENSG00000204592,ENSG00000176046,ENSG00000125730,ENSG00000100906,ENSG00000143546,ENSG00000131203,ENSG00000006210,ENSG00000124256"
"GO:BP","negative regulation of macromolecule metabolic process","GO:0010605","0.00009291877309614754","4.0318965332787196","3297","146","50","18092","ENSG00000126709,ENSG00000165949,ENSG00000187608,ENSG00000130303,ENSG00000115415,ENSG00000173193,ENSG00000132274,ENSG00000185507,ENSG00000100911,ENSG00000156587,ENSG00000125730,ENSG00000057149,ENSG00000107201,ENSG00000140105,ENSG00000196126,ENSG00000189060,ENSG00000115267,ENSG00000078081,ENSG00000149131,ENSG00000055332,ENSG00000240065,ENSG00000138646,ENSG00000138496,ENSG00000160710,ENSG00000177606,ENSG00000067066,ENSG00000124201,ENSG00000133710,ENSG00000180573,ENSG00000010030,ENSG00000123240,ENSG00000130813,ENSG00000117228,ENSG00000169429,ENSG00000004468,ENSG00000175197,ENSG00000101596,ENSG00000136235,ENSG00000163840,ENSG00000138035,ENSG00000125740,ENSG00000131203,ENSG00000006210,ENSG00000123609,ENSG00000087074,ENSG00000089692,ENSG00000152518,ENSG00000140464,ENSG00000120129,ENSG00000130589"
